chrom	chromStart	chromEnd	gene symbol	strand	known	UCSC_cassette	NR	Under selection	UI len	exon len	DI len	minEvi (noEST)	inclusion	match known exon	overlap known exon	overlap CDS	AG/GU in hg19	hg19.cass	NMD classification	intron.phyloP	wobble.phyloP	GMM FDR
chr17	24886673	24887917	Spsb3	+	0		1	0	632	53	334	2	0.008234971			0	1		NMD_in	-0.1661025	0.230529	0.816
chr17	25093062	25094781	Ift140	+	0		1	0	780	42	588	7	0.003430878			0	1		NMD_in	-0.1729805	-0.279571	0.823
chr17	25875499	25876562	0610011F06Rik	+	0		1	0	493	60	215	4	0.998407326	EX-68347-3720-3780[.][67]	EX-68347-3720-3780[.][67]	1	1	CA-sr-chr16r-3348[INC][1064|6826/4]	NMD_in	0.001246	-0.04445	0.818
chr17	26629554	26634521	Ergic1	+	0		1	0	2246	101	2390	103	0.006093153			0	1		NMD_in	0.080375	0.402394	0.809
chr17	26966869	26970593		+	0		1	1	707	80	2738	204	0.066666667			0	1	CA-sr-chr6f-1224[INC][262|234/3079]	NMD_in	0.5573925	2.14819	0.0344
chr17	28038079	28042676	Anks1	+	0		1	0	2820	228	1375	4	0.006377164			0	1		NMD_in	0.57133	0.349658	0.112
chr17	28737010	28741866	Mapk14	+	0		1	1	3653	16	1028	4	0.408697832		EX-26416-52338-52418[.][13]	1	1		NMD_in	0.990635	2.44133	0.000391
chr17	28805928	28810669	Brpf3	+	0		1	0	1093	24	1996	2	0.002043597			0	1		NMD_in	0.5606685	1.14675	0.224
chr17	29628959	29631760	Rnf8	+	0		1	0	120	115	2413	2	0.000477236			0	1		NMD_in	0.325525	0.711308	0.592
chr17	33816185	33821914	Kank3	+	0	cassetteExon_4508	1	0	3534	217	1772	27	0.85450517	EX-80880-12257-12474[.][10]	EX-80880-12257-12474[.][10]	1	1		NMD_in	-0.1667809	0.243444	0.814
chr17	34592730	34593645	Pbx2	+	0		1	0	290	126	381	2	0.000562204			0	1		NMD_in	0.0704825	-0.472405	0.59
chr17	35246936	35249069	Ddx39b	+	0		1	0	164	128	1538	3	9.00E-05			0	1		NMD_in	0.40582	-0.229047	0.145
chr17	35248950	35251378	Ddx39b	+	0		1	0	504	217	1456	4	0.000857366		uc008cgz.2_5	0	1	CA-sr-chr6r-3302[INC][23|2/9027]	NMD_in	1.09059	1.32928	0.000145
chr17	35520874	35524609	Cchcr1	+	0		1	0	137	81	3049	2	0.004739336			0	1		NMD_in	-0.0369375	-0.420593	0.744
chr17	43953354	44017940	Rcan2	+	0		1	0	26604	75	37550	3	0.000484379			0	1		NMD_in	0.2153475	0.76484	0.701
chr17	46161031	46163509	Gtpbp2	+	0		1	0	1970	74	112	12	0.002738226			0	1		NMD_in	0.1729165	-0.01588	0.677
chr17	46229311	46230380	Xpo5	+	0		1	0	152	136	499	13	0.004243827			0	1	CA-57510-31468-31622-31760-32323[INC][1/47]	NMD_in	0.3609015	0.71569	0.54
chr17	46409018	46409779	Zfp318	+	0		1	0	79	125	256	7	0.005555556			0	1		NMD_in	0.9799505	1.34105	0.0013
chr17	47611595	47613117	Usp49	+	0		1	0	178	117	975	2	0.000448459			0	1		NMD_in	0.0893075	-0.533256	0.517
chr17	50509546	50608781	Plcl2	+	0		1	0	86116	216	10025	2	0.00100647			0	1		NMD_in	0.08272275	-0.129986	0.746
chr17	53654438	53659428	Kat2b	+	0		1	0	4222	82	448	14	0.008588957			0	1		NMD_in	0.08807035	0.080963	0.79
chr17	56588781	56595714	Safb	+	0		1	0	4968	207	1610	10	0.998284146	EX-224903-11853-12060[.][10]	EX-224903-11853-12060[.][10]	1	1	CA-sr-chr19f-569[INC][2|3310/50]	NMD_in	0.3469835	-0.663623	0.0574
chr17	65815922	65824789	Ppp4r1	+	0		1	0	857	120	7232	39	0.040499347			0	1	CA-sr-chr18r-1350[INC][45|52/1076]	NMD_in	0.257382	1.52632	0.321
chr17	70522109	70593381	Dlgap1	+	0		1	1	39456	153	31295	7	0.068775934		NM_001128181_0	1	1		NMD_in	0.5532675	1.71275	0.126
chr17	71080773	71082496	Myom1	+	0		1	0	390	103	814	6	0.35			0	1		NMD_in	0.2574275	0.439588	0.674
chr17	74677165	74689363	Birc6	+	0		1	1	8741	173	2924	258	0.059139785			0	1	CA-57448-221338-236777-236950-239886[INC][4/33]	NMD_in	1.0801825	2.08893	0.000237
chr17	74858008	74862146	Ttc27	+	0		1	0	126	64	3735	2	0.00073046			0	1		NMD_in	0.2342965	0.113409	0.63
chr17	75266487	75274034	Ltbp1	+	0		1	0	2214	17	5025	13	0.044776119			0	1	CA-sr-chr2f-1127[INC][6|5/345]	NMD_in	0.3004475	0.427167	0.608
chr17	86353554	86474476	Prkce	+	0		1	0	80391	96	40211	6	0.000310023			0	1		NMD_in	0.2381625	-0.0485313	0.551
chr17	87292810	87307059	Ttc7	+	0		1	0	1029	58	12862	98	0.542056075			1	1	CA-57217-18834-20321-20379-36799[INC][1/11]	NMD_in	0.44649	1.65105	0.205
chr17	86003846	86051168	Srbd1	-	0		1	0	2566	173	44393	3	0.002477876			0	1		NMD_in	0.7604575	1.4515	0.0367
chr17	81026326	81032740	Thumpd2	-	0	cassetteExon_4866	1	0	1617	391	3653	53	0.122743682	uc008dro.2_9	uc008dro.2_9	0	1		NMD_in	0.119435	-0.00567257	0.746
chr17	80550825	80556425	Cdkl4	-	0		1	0	2411	224	2773	6	0.008690255			0	1		NMD_in	0.047696	0.09896	0.815
chr17	80050627	80053641	Hnrpll	-	0		1	0	723	59	1875	23	0.002703992			0	1		NMD_in	0.05361	-0.3361	0.694
chr17	79875801	79896028	Atl2	-	0		1	0	8192	117	11553	16	0.003772907			0	1		NMD_in	0.20667	-0.0722821	0.597
chr17	79848391	79852956	Atl2	-	0		1	1	1731	233	282	13	0.027915633		uc008dqg.1_12	1	1	CA-sr-chr2r-5133[INC][7|46/273]	NMD_in	1.340225	1.83256	1.34E-06
chr17	78760415	78762266	Heatr5b	-	0		1	0	101	26	1232	2	0.000564493			0	1		NMD_in	0.1936145	0.0175556	0.659
chr17	74225431	74242016	Memo1	-	0		1	1	15253	79	998	49	0.015991932			0	1	CA-51072-95704-120308-120388-121495[INC][1/78]	NMD_in	0.949925	2.02538	0.00179
chr17	74217026	74225574	Memo1	-	0		1	1	4964	225	3139	4	0.086105067			0	1		NMD_in	1.520255	1.9382	1.74E-08
chr17	74217026	74225574	Memo1	-	0		1	1	4891	53	3384	18	0.022606383			0	1		NMD_in	1.938885	2.24417	1.30E-13
chr17	66500309	66506093	Rab12	-	0		1	0	854	190	4540	60	0.006728683			0	1		NMD_in	-0.04306445	0.929365	0.615
chr17	66346353	66348521	1110012J17Rik	-	0		1	0	91	134	1632	5	0.002697495		uc008djx.1_5	1	1		NMD_in	-0.1680455	-0.698444	0.702
chr17	65982835	66024223	Ankrd12	-	0		1	1	12707	80	23795	4	0.002603037			1	1	CA-23253-88247-105724-105804-120458[INC][1/23]	NMD_in	0.7004215	1.50744	0.0654
chr17	56424879	56434597	Ptprs	-	0	cassetteExon_4783	1	0	7948	118	1409	2	0.002313418	EX-19280-52976-53094[.][24]	EX-19280-52976-53094[.][24]||EX-19280-53000-53094[.][2]||EX-19280-53025-53094[.][2]	1	1	CA-sr-chr19r-4479[INC][2|2/5037]	NMD_in	-0.17502	0.497897	0.738
chr17	50813755	50852639	Tbc1d5	-	0		1	0	12792	126	25773	8	0.016513761			0	1		NMD_in	0.1889925	-0.0531905	0.636
chr17	49473285	49476555	Daam2	-	0		1	0	2040	29	986	12	0.01224246		EX-76441-90782-94052[.][1]||uc008cyj.1_0	0	1	CA-23500-94687-97038-97065-98103[INC][1/12]	NMD_in	0.4642425	1.255	0.327
chr17	46743185	46747544	Cnpy3	-	0		1	0	3978	58	102	193	0.018921746			0	1	CA-10695-8477-9290-9352-9452[INC][20/112]	NMD_in	0.59957	1.29084	0.166
chr17	45546760	45549677	Tmem151b	-	0		1	0	1183	79	819	4	0.001299545			0	1		NMD_in	0.0703075	0.168885	0.81
chr17	44610027	44639826	Runx2	-	0		1	1	959	193	28419	16	0.922330097			0	1	CA-sr-chr6f-1987[INC][47|4/6]	NMD_in	0.5886825	1.55958	0.136
chr17	42808730	42816087	Cd2ap	-	0		1	1	4828	77	2196	263	0.344740177			0	1	CA-sr-chr6f-2006[INC][53|50/182]	NMD_in	1.342785	2.65996	1.09E-06
chr17	37012335	37014770	Mog	-	0		1	0	871	183	1243	2	0.007099567			0	1		NMD_in	0.07798	0.0395082	0.79
chr17	35836627	35838065	Tubb5	-	0		1	0	294	212	754	2	0.000117076			0	1		NMD_in	0.04441	-0.0402676	0.798
chr17	35685305	35686591	Ddr1	-	0		1	0	289	74	567	153	0.063690354			0	1	CA-sr-chr6f-894[INC][13|4/1904]	NMD_in	0.630695	0.83576	0.122
chr17	35062692	35065409	AU023871	-	0	cassetteExon_4624	1	0	556	77	249	0	NA	EX-106722-4422-4499[.][2]	EX-106722-4422-4499[.][2]	1	1		NMD_in	0.386331	0.0403846	0.304
chr17	32333002	32334696	Akap8l	-	0		1	1	542	140	761	405	0.131377551			0	1	CA-26993-22721-23256-23393-24167[INC][7/41]	NMD_in	1.82152	2.40479	7.11E-12
chr17	32312285	32314144	Akap8	-	0		1	0	848	158	731	1036	0.180005248		EX-56399-10891-11868[.][3]	0	1	CA-10270-12656-13577-13735-14479[INC][2/9]	NMD_in	0.4797225	1.9353	0.0923
chr17	31617387	31619243	Cbs	-	0		1	0	1057	81	537	45	0.021106421			0	1		NMD_in	-0.1032575	-0.00474074	0.84
chr17	30299530	30334332	Btbd9	-	0		1	0	29705	187	4610	6	0.00136525			0	1		NMD_in	0.446085	0.0698226	0.208
chr17	27596723	27623242	Nudt3	-	0		1	0	245	145	25862	6	0.000186536			0	1		NMD_in	0.054955	-0.0268958	0.794
chr17	27020990	27021682	Bak1	-	0		1	0	315	181	131	31	0.984807645	EX-12018-10279-10460[.][28]	EX-12018-10279-10460[.][28]	1	1		NMD_in	-0.03044745	0.222328	0.836
chr17	26004550	26008890	Rab11fip3	-	0		1	0	265	125	3820	3	0.000477457			0	1		NMD_in	-0.073005	-0.201524	0.82
chr17	25381421	25383265	Cacna1h	-	0		1	0	174	179	1146	2	0.096719216			1	1		NMD_in	-0.0618525	0.000322034	0.837
chr17	24914458	24918139	Mapk8ip3	-	0		1	0	1365	126	1798	35	0.010305501		uc008azg.1_2	0	1	CA-sr-chr16f-326[INC][12|42/8504]	NMD_in	0.378645	1.27486	0.406
chr17	12969404	12975474	Wtap	-	0		1	1	1384	202	4150	9	0.025497076		NM_001113532_5	0	1		NMD_in	1.1321	1.75097	0.000105
chr17	10282838	10319361	Qk	-	0		1	0	15771	56	19923	6	0.000543971			0	1		NMD_in	0.06024105	0.0684444	0.805
chr17	5410863	5433598	Tmem242	-	0		1	0	12426	210	9338	14	0.001819808			0	1		NMD_in	0.2268915	-0.0869286	0.552
chr18	5593720	5705243	Zeb1	+	0		1	0	47462	137	63524	29	0.316825397	EX-21417-52522-52659[.][1]	EX-21417-52522-52659[.][1]	0	1	CA-6935-5361-70952-71095-144865[INC][2/16][UPT]	NMD_in	0.46766	1.43758	0.271
chr18	9986288	9986603	Thoc1	+	0		1	1	65	36	96	11	0.00661157		EX-225160-31109-31424[.][12]||EX-225160-31109-31582[.][1]	0	1	CA-sr-chr18r-1517[INC][2|5/475]	NMD_in	2.01749	2.42633	1.48E-14
chr18	22375132	22410029	Asxl3	+	0		1	1	17428	209	17068	1	0.985611511	EX-211961-50555-50764[.][3]	EX-211961-50555-50764[.][3]||NM_001167777_2||uc008efm.2_2	0	1	CA-80816-32100-51285-51494-69317[INC][3/11]	NMD_in	1.0830025	2.18967	0.000198
chr18	23653328	23659706	Dtna	+	0		1	0	2435	229	2563	3	0.461145997		NM_207650_20	0	1	CA-sr-chr18f-605[INC][2428|3/1295]	NMD_in	0.689197	1.04337	0.0784
chr18	31775986	31778953	Ammecr1l	+	0		1	0	712	71	1996	61	0.048575432		uc008eif.1_5	0	1		NMD_in	0.2729225	0.241292	0.608
chr18	31833582	31835481	Wdr33	+	0		1	0	562	103	984	4	0.001372119		NM_001170966_5	0	1		NMD_in	1.33825	1.32712	4.72E-07
chr18	32377216	32406180	Bin1	+	0		1	0	1205	80	27324	35	0.001730444			0	1		NMD_in	0.273675	-0.349704	0.306
chr18	33176158	33179624	Camk4	+	0		1	0	2042	171	1050	7	0.001064801			0	1		NMD_in	0.0250425	0.118368	0.824
chr18	35978283	35980065	Psd2	+	0		1	0	114	175	641	11	0.003456664			0	1		NMD_in	0.127879	-0.127322	0.696
chr18	36611799	36613220	Ankhd1	+	0		1	0	992	68	145	7	0.00458907			0	1		NMD_in	0.318408	0.93087	0.573
chr18	36793922	36794390	Zmat2	+	0		1	0	111	128	98	2	0.000239712			0	1		NMD_in	0.33042	0.269093	0.511
chr18	38447690	38451642	Ndfip1	+	0		1	0	2433	93	1207	4	8.22E-05			0	1		NMD_in	0.1148625	0.0216129	0.757
chr18	42552491	42553497	Tcerg1	+	0		1	0	277	22	481	6	0.00167109			0	1		NMD_in	1.1770075	1.18743	1.53E-05
chr18	42571014	42571907	Tcerg1	+	0		1	0	390	142	97	9	0.001938273			0	1	CA-sr-chr5f-2818[INC][36|38/2175]	NMD_in	0.84875	1.38223	0.0119
chr18	44830151	44837507	Ythdc2	+	0		1	0	4216	200	2682	11	0.905372895	EX-240255-8794-8994[.][4]	EX-240255-8794-8994[.][4]	1	1	CA-sr-chr5f-1901[INC][86|517/82]	NMD_in	0.3224465	0.942791	0.566
chr18	45670217	45677064	Kcnn2	+	0		1	0	4926	109	1573	131	0.024815926			0	1		NMD_in	-0.024805	-0.176838	0.808
chr18	46741916	46779259	Ap3s1	+	0	cassetteExon_5084	1	0	12289	92	24725	176	0.964017467	EX-11777-15454-15546[.][60]	EX-11777-15454-15546[.][60]	1	1	CA-1176-3185-27748-27840-56165[INC][2/2][UPT]	NMD_in	0.2880125	1.1556	0.523
chr18	46783758	46790047	Ap3s1	+	0		1	1	4857	48	1192	108	0.037532732			0	1	CA-1176-67940-73167-73215-74440[INC][1/2][DNT]	NMD_in	0.875495	2.09181	0.00411
chr18	46960415	46963770	Commd10	+	0		1	0	1800	64	1289	2	0.001388363			0	1		NMD_in	0.021585	0.179227	0.828
chr18	57932479	57936430	Slc12a2	+	0		1	1	2822	64	816	25	0.074454957			0	1	CA-sr-chr5f-2106[INC][2|58/807]	NMD_in	1.22546	2.23386	1.56E-05
chr18	60552844	60555204	Dctn4	+	0		1	0	348	250	1556	2	0.000255141			0	1		NMD_in	0.07819	-0.160714	0.74
chr18	60980059	60984554	Camk2a	+	0		1	0	3029	73	1069	2	2.80E-05			0	1		NMD_in	-0.0422725	-0.297333	0.789
chr18	64997347	65074805	Nedd4l	+	0		1	0	26419	149	50734	52	0.261494009		NM_031881_0	0	1	CA-sr-chr18f-924[INC][3|809/1587]	NMD_in	0.0722863	0.389551	0.812
chr18	65458168	65462913	Malt1	+	0		1	0	1302	64	2997	27	0.222614841		uc012bed.1_10	0	1	CA-sr-chr18f-943[INC][2|5/270]	NMD_in	0.245465	0.674619	0.69
chr18	65622983	65683007	Zfp532	+	0	cassetteExon_5142	1	0	18858	177	38525	92	0.138728324	EX-328977-66963-67140[.][4]	EX-328977-66963-67140[.][4]	1	1	CA-sr-chr18f-977[INC][84|23/96]	NMD_in	-0.0265332	0.883525	0.657
chr18	65800577	65809554	Sec11c	+	0		1	0	7181	112	1440	13	0.001461767			0	1		NMD_in	-0.2641065	-0.118081	0.81
chr18	67856147	67858250	Cep192	+	0		1	0	567	141	957	9	0.014347202			0	1		NMD_in	0.1081075	0.0919362	0.778
chr18	68314103	68318111	Rnmt	+	0		1	0	704	135	3002	14	0.004608295		uc008fnj.2_6	0	1		NMD_in	0.1743695	0.0736222	0.706
chr18	76967143	76970754	Hdhd2	+	0		1	0	1496	132	1775	2	0.001090431			0	1		NMD_in	-0.0606925	-0.0804773	0.832
chr18	77145002	77150098	Pias2	+	0		1	1	1560	172	3186	3	0.032847786		NM_001164170_12	1	1	CA-9063-99600-102085-102255-105183[INC][1/11]	NMD_in	0.9340225	1.73514	0.00316
chr18	77369122	77375198	Loxhd1	+	0	cassetteExon_5193	1	0	3585	155	2041	3	NA	EX-240411-93911-94066[.][1]	EX-240411-93911-94066[.][1]	1	1		NMD_in	-0.1184225	-0.258231	0.821
chr18	78009569	78010990	5430411K18Rik	+	0		1	0	926	43	152	7	0.005370569			0	1		NMD_in	0.1551895	0.155071	0.748
chr18	80256781	80263553	Pqlc1	+	0		1	0	2759	63	3479	3	0.001641437			0	1		NMD_in	-0.0014975	0.063381	0.829
chr18	80263419	80283492	Pqlc1	+	0		1	0	12523	82	7117	2	0.001437077			0	1	CA-80148-11325-24342-24426-35253[INC][1/21]	NMD_in	0.08692	0.349821	0.808
chr18	86404639	86461083	Neto1	+	0		1	0	44630	33	11490	14	0.003109815			0	1		NMD_in	-0.11036	-0.833545	0.57
chr18	88985893	88989550	Rttn	+	0		1	0	1278	26	2055	2	0.01754386			0	1		NMD_in	0.18876	0.007	0.663
chr18	89075426	89081984	Rttn	+	0		1	0	4894	115	1366	10	0.04496788			0	1		NMD_in	0.031	0.103395	0.821
chr18	82645968	82657177	Zfp236	-	0		1	0	5727	127	4853	42	0.042534722			0	1		NMD_in	0.011515	0.0744524	0.826
chr18	77653128	77674684	8030462N17Rik	-	0		1	1	18649	115	1839	3	0.162162162			0	1		NMD_in	1.0039725	1.96082	0.000907
chr18	77010946	77047296	Katnal2	-	0	cassetteExon_5185	1	0	35069	115	944	14	0.938325991	EX-71206-38192-38307[.][6]	EX-71206-38192-38313[.][7]||EX-71206-38192-38307[.][6]	1	1	CA-sr-chr18f-798[INC][31|232/9]	NMD_in	-0.01336975	0.251333	0.833
chr18	77007784	77011045	Katnal2	-	0		1	0	85	80	2898	2	0.00315856		uc008fqz.1_5	1	1		NMD_in	0.0542173	-0.178115	0.757
chr18	74199899	74206884	Ska1	-	0		1	0	2400	125	4226	4	0.95335277	EX-66468-6430-6555[.][35]	EX-66468-6430-6555[.][35]	1	1		NMD_in	0.147183	0.624667	0.763
chr18	67665500	67672768	Ptpn2	-	0		1	0	1653	123	5016	3	0.001485884		NM_001127177_8	0	1		NMD_in	0.244673	0.476659	0.694
chr18	64541277	64545405	Atp8b1	-	0		1	0	1649	78	1888	22	0.768421053			0	1		NMD_in	0.340865	1.07369	0.511
chr18	64475056	64489066	Fech	-	0		1	0	10130	120	3445	3	0.999219461	EX-14151-13296-13416[.][73]	EX-14151-13296-13416[.][73]||EX-14151-13352-13416[.][1]	1	1		NMD_in	-0.146669	-0.29	0.82
chr18	62520682	62522520	Fbxo38	-	0		1	1	859	143	522	139	0.071535022			0	1	CA-sr-chr5f-2833[INC][26|30/788]	NMD_in	0.774565	2.02857	0.0132
chr18	61702195	61703718	Pcyox1l	-	0		1	0	117	49	975	2	0.046318869			0	1	CA-78991-7837-7960-8010-9029[INC][1/68]	NMD_in	0.377626	1.05406	0.478
chr18	61003486	61004523	Slc6a7	-	0		1	0	488	168	142	7	0.004745203			0	1		NMD_in	-0.1196745	0.135661	0.837
chr18	58106293	58113384	Fbn2	-	0		1	0	5489	28	1316	124	0.454819277			0	1	CA-sr-chr5r-1764[INC][4|4/6]	NMD_in	0.45918	0.6687	0.366
chr18	42741095	43059471	Ppp2r2b	-	0		1	1	160223	194	157551	114	0.732827787	EX-72930-163533-163727[.][1]	EX-72930-163533-163727[.][1]||NM_027531_0	1	1	CA-sr-chr5r-1031[INC][750|9303/1187]	NMD_in	1.130248	2.22826	8.88E-05
chr18	41932600	41935241	Prelid2	-	0		1	0	526	28	1852	7	0.090909091			1	1		NMD_in	0.31331	0.844444	0.595
chr18	37943677	37944209	Hdac3	-	0		1	0	94	67	216	6	0.001858816			0	1		NMD_in	0.830604	0.633136	0.0048
chr18	36451079	36454495	Pfdn1	-	0		1	0	291	121	2794	2	0.000172592			0	1		NMD_in	0.0045425	-0.158902	0.797
chr18	36024305	36045976	Nrg2	-	0		1	0	7506	121	13822	9	0.982824427	EX-100042150-161809-161930[.][8]	EX-100042150-161809-161930[.][8]	1	1	CA-sr-chr5r-1212[INC][441|4/4]	NMD_in	0.4003325	0.6444	0.47
chr18	34630950	34634164	Cdc23	-	0		1	0	1486	75	1220	5	0.006920415		NM_178347_15	1	1		NMD_in	1.38257	0.40992	1.20E-09
chr18	34598614	34602247	Brd8	-	0		1	1	1354	242	365	33	0.010396436			0	1		NMD_in	1.0388875	2.02333	0.000481
chr18	33921829	34006422	Epb4.1l4a	-	0		1	0	76220	184	7646	3	0.005376344			0	1		NMD_in	-0.0998225	0.0916613	0.84
chr18	31594576	31597095	Slc25a46	-	0		1	0	1674	153	577	9	0.001102308			0	1		NMD_in	0.6339535	1.37282	0.124
chr18	22921845	22952310	Nol4	-	0		1	1	955	41	29207	518	0.059956236			0	1	CA-8715-96681-97662-97703-121391[INC][4/55]	NMD_in	1.78803	2.18079	1.23E-11
chr18	20706404	20720142	B4galt6	-	0		1	0	1513	172	11814	17	0.001919925			0	1		NMD_in	NA	NA	NA
chr18	16774507	16809049	Cdh2	-	0		1	0	22010	132	11573	14	0.00197346			0	1		NMD_in	0.13889	-0.290818	0.595
chr18	14670308	14679463	Ss18	-	0		1	0	4404	228	4361	2	0.035460993			0	1		NMD_in	0.0741925	0.107596	0.802
chr18	10073114	10079274	Rock1	-	0		1	1	5414	44	471	294	0.259604191			1	1	CA-sr-chr18r-1169[INC][124|148/412]	NMD_in	1.073392	2.4086	0.00015
chr18	9353406	9377828	Ccny	-	0		1	0	1608	122	22556	134	0.007151653			0	1		NMD_in	0.12285	0.09235	0.765
chr18	6462831	6516087	Epc1	-	0		1	0	5168	170	47535	4	0.003111388			0	1		NMD_in	0.1240275	-0.045875	0.729
chr18	6462831	6490856	Epc1	-	0		1	0	1132	118	26221	2	0.051626016		uc008dzl.1_1	0	1		NMD_in	0.64906	0.927205	0.111
chr18	6441121	6449257	Epc1	-	0		1	1	6992	111	558	187	0.044642857			0	1	CA-80314-65488-76147-76264-76904[INC][1/12]	NMD_in	1.182025	2.38154	2.72E-05
chr18	3295321	3325478	Crem	-	0	cassetteExon_4919	1	0	15605	110	14229	11	0.052410901	uc008dxu.2_3	uc008dxu.2_3	1	1		NMD_in	0.3495425	0.795405	0.554
chr18	3273421	3281747	Crem	-	0		1	0	493	246	7370	2	0.595890411			0	1		NMD_in	-0.00791	0.512744	0.806
chr19	4125959	4127639	Tmem134	+	0		1	0	856	65	428	10	0.997227997	EX-66990-4097-4162[.][71]	EX-66990-4097-4162[.][71]||EX-66990-4097-4173[.][18]	1	1		NMD_in	0.39814	0.369952	0.414
chr19	4515653	4601735	Pcx	+	0		1	0	25360	89	60460	7	0.002054513			0	1		NMD_in	0.0863525	-0.193345	0.719
chr19	4718818	4724231	Spnb3	+	0		1	0	2495	40	2547	21	0.001146032			0	1		NMD_in	0.3620455	0.668154	0.537
chr19	6401715	6402532	Rasgrp2	+	0		1	0	349	150	109	6	0.038596917			1	1		NMD_in	0.649602	0.10502	0.0181
chr19	6403431	6404450	Rasgrp2	+	0		1	0	454	78	204	32	0.009860312			0	1	CA-sr-chr11r-2321[INC][7|126/3012]	NMD_in	0.1182775	0.741923	0.749
chr19	7417624	7420561	2700081O15Rik	+	0		1	0	1705	59	385	2	0.002925951			0	1		NMD_in	0.3668625	0.435	0.492
chr19	10435549	10439422	Syt7	+	0		1	0	2426	72	968	6	0.000560321			0	1		NMD_in	-0.041975	0.0610833	0.837
chr19	21276977	21282289	Zfand5	+	0		1	0	2535	126	672	9	0.999315433	EX-22682-10347-10473[.][65]	EX-22682-10347-10473[.][65]	1	1		NMD_in	-0.272106	1.5169	0.026
chr19	21842040	21844839	Tmem2	+	0		1	0	462	104	1830	105	0.098396731			0	1	CA-sr-chr9r-2499[INC][21|6/1045]	NMD_in	0.4062225	1.24374	0.392
chr19	23892734	23912550	Apba1	+	0		1	0	3017	59	15358	3	0.000343328			0	1		NMD_in	0.004745	-0.222579	0.781
chr19	29579764	29584213	C030046E11Rik	+	0		1	1	1068	130	3008	57	0.05479886		uc008hdr.1_11	0	1	CA-sr-chr9f-142[INC][12|12/414]	NMD_in	1.000775	2.06448	0.000824
chr19	38836578	38865739	Tbc1d12	+	0		1	0	10456	119	17594	17	0.021547502			0	1		NMD_in	0.1159175	-0.026225	0.744
chr19	38895986	38907852	Tbc1d12	+	0	cassetteExon_5441	1	0	2799	118	8785	3	0.845606907	EX-209478-65290-65408[.][5]	EX-209478-65290-65408[.][5]	1	1	CA-sr-chr10f-2117[INC][902|17/4]	NMD_in	0.3567925	1.01444	0.51
chr19	41981973	42032116	Ubtd1	+	0		1	0	19126	148	30606	2	0.00212766			0	1		NMD_in	-0.0436225	0.0968571	0.838
chr19	42171545	42181597	Zfyve27	+	0		1	0	7545	202	2011	6	0.997998666	EX-319740-11722-11924[.][41]	EX-319740-11722-11924[.][41]	1	1	CA-118813-4554-10608-10795-14148[INC][1/14]	NMD_in	0.01915285	0.0784776	0.824
chr19	44941458	44943519	Fam178a	+	0		1	1	436	77	509	7	0.461679501		EX-226151-13340-14821[.][1]	1	1		NMD_in	1.384335	2.43242	6.44E-07
chr19	45471014	45503163	Btrc	+	0		1	0	23418	215	8194	2	0.000247954			0	1		NMD_in	1.4216025	1.2208	3.55E-08
chr19	45502931	45507870	Btrc	+	0		1	0	3730	110	680	5	0.001089637			0	1		NMD_in	0.565955	0.17025	0.0772
chr19	46067228	46071411	Pprc1	+	0	cassetteExon_5491	1	0	1752	730	1508	12	0.984952978	EX-226169-15500-16230[.][5]	EX-226169-15500-16230[.][5]	1	1	CA-sr-chr10f-2471[INC][8|230/600]	NMD_in	0.5902715	1.30651	0.175
chr19	46280537	46283185	Gbf1	+	0		1	0	2134	43	114	2	0.001899135			0	1		NMD_in	0.2694755	-0.0147857	0.508
chr19	46369236	46375254	Tmem180	+	0		1	0	2848	194	2070	3	0.997583568	EX-75146-18302-18496[.][22]	EX-75146-18302-18496[.][22]	1	1		NMD_in	0.4390525	0.572077	0.388
chr19	46396917	46401258	Sufu	+	0		1	0	3603	119	117	3	0.002202643			0	1		NMD_in	0.5496265	0.0562308	0.0677
chr19	46623400	46644455	D19Wsu162e	+	0		1	0	730	224	19819	1	0.031339031			0	1		NMD_in	0.33701	0.34812	0.525
chr19	53242503	53244405	Add3	+	0		1	0	1183	14	485	2	0.003803934			0	1	CA-sr-chr10f-2686[INC][23|5/1562]	NMD_in	0.62341	1.29975	0.139
chr19	53331350	53346480	Mxi1	+	0		1	0	14108	147	712	7	0.001299655			0	1		NMD_in	0.2146675	0.223122	0.694
chr19	57611033	57629168	Atrnl1	+	0		1	0	4289	83	13069	4	0.002196515			0	1		NMD_in	0.1184475	0.0377143	0.758
chr19	60864677	60870139	Prdx3	-	0		1	0	4672	166	446	2	0.999639834	EX-11757-12207-12373[.][55]	EX-11757-12207-12373[.][55]	1	1		NMD_in	0.0975183	0.325804	0.804
chr19	58975194	58999946	4930506M07Rik	-	0	cassetteExon_5562	1	1	9511	193	14980	48	0.08228624	EX-71653-88688-88881[.][5]	EX-71653-88688-88881[.][5]	1	1	CA-sr-chr10r-546[INC][22|1045/10968]	NMD_in	0.806565	2.00945	0.0104
chr19	53014610	53038542	Xpnpep1	-	0		1	0	13130	125	10584	2	0.999534234	EX-170750-16159-16284[.][183]	EX-170750-16159-16284[.][183]	1	1	CA-sr-chr10r-667[INC][145|2386/6]	NMD_in	0.208915	0.420762	0.728
chr19	45762184	45765624	Mgea5	-	0		1	1	1559	107	1513	12	0.002157396		uc012bmp.1_0	0	1	CA-sr-chr10r-1000[INC][24|4/6803]	NMD_in	1.75165	2.28617	5.29E-11
